company_ticker,company_name,indication,target,class_peer_ticker,relationship_type,weight,rationale
SGEN,Seagen,Urothelial Cancer,Nectin-4,GILD,competitor,0.6,"ADC (Padcev)"
ABBV,AbbVie,Ovarian Cancer,FRα,,primary,1.0,"ADC (Elahere)"
GILD,Gilead,Triple Negative Breast,Trop-2,,primary,1.0,"ADC (Trodelvy)"
AMGN,Amgen,KRAS G12C NSCLC,KRAS G12C,,primary,1.0,"KRAS inhibitor (Lumakras)"
MRK,Merck,KRAS G12C NSCLC,KRAS G12C,AMGN,competitor,0.6,"KRAS inhibitor (Krazati)"
GILD,Gilead,Multiple Myeloma,BCMA,,primary,1.0,"CAR-T (Abecma partnership)"
BMY,Bristol Myers Squibb,Multiple Myeloma,BCMA,GILD,competitor,0.6,"CAR-T (Abecma partnership)"
JNJ,Johnson & Johnson,Multiple Myeloma,BCMA,GILD,competitor,0.6,"CAR-T (Carvykti)"
LEGN,Legend Biotech,Multiple Myeloma,BCMA,GILD,competitor,0.6,"CAR-T (Carvykti partner)"
GILD,Gilead,DLBCL,CD19,,primary,1.0,"CAR-T (Yescarta)"
NVS,Novartis,DLBCL,CD19,GILD,competitor,0.6,"CAR-T (Kymriah)"
BMY,Bristol Myers Squibb,DLBCL,CD19,GILD,competitor,0.6,"CAR-T (Breyanzi)"
BIIB,Biogen,Alzheimer's Disease,Amyloid,,primary,1.0,"Anti-amyloid (Aduhelm/Leqembi)"
LLY,Eli Lilly,Alzheimer's Disease,Amyloid,BIIB,competitor,0.6,"Anti-amyloid (donanemab)"
RHHBY,Roche,Alzheimer's Disease,Tau,BIIB,competitor,0.6,"Anti-tau programs"
PRTA,Prothena,Alzheimer's Disease,Amyloid,BIIB,competitor,0.6,"Anti-amyloid programs"
BIIB,Biogen,Multiple Sclerosis,CD20,,primary,1.0,"Anti-CD20 (Ocrevus partnership)"
RHHBY,Roche,Multiple Sclerosis,CD20,BIIB,competitor,0.6,"Anti-CD20 (Ocrevus partner)"
NVS,Novartis,Multiple Sclerosis,S1P,BIIB,competitor,0.6,"S1P modulator (Gilenya)"
BMY,Bristol Myers Squibb,Multiple Sclerosis,S1P,BIIB,competitor,0.6,"S1P modulator (Zeposia)"
REGN,Regeneron,AMD,VEGF,,primary,1.0,"Anti-VEGF (Eylea)"
RHHBY,Roche,AMD,VEGF,REGN,competitor,0.6,"Anti-VEGF (Lucentis/Vabysmo)"
NVS,Novartis,AMD,VEGF,REGN,competitor,0.6,"Markets Lucentis"
ALNY,Alnylam,Cardiovascular,Lp(a),,primary,1.0,"RNAi for Lp(a)"
NVO,Novo Nordisk,Cardiovascular,Lp(a),ALNY,competitor,0.6,"Oral Lp(a) programs"
AMGN,Amgen,Cardiovascular,PCSK9,,primary,1.0,"PCSK9 inhibitor (Repatha)"
REGN,Regeneron,Cardiovascular,PCSK9,AMGN,competitor,0.6,"PCSK9 inhibitor (Praluent)"
SNY,Sanofi,Cardiovascular,PCSK9,AMGN,competitor,0.6,"Partner on Praluent"
ALNY,Alnylam,Cardiovascular,PCSK9,AMGN,competitor,0.6,"RNAi PCSK9 (inclisiran acquired by Novartis)"
NVS,Novartis,Cardiovascular,PCSK9,AMGN,competitor,0.6,"RNAi PCSK9 (inclisiran)"
ARVN,Arvinas,Prostate Cancer,AR,,primary,1.0,"AR degrader (bavdegalutamide)"
KYMR,Kymera,Prostate Cancer,AR,ARVN,competitor,0.6,"STAT degraders"
CCCC,C4 Therapeutics,Prostate Cancer,AR,ARVN,competitor,0.6,"Degrader platform"
NRIX,Nurix,Prostate Cancer,BTK,ARVN,competitor,0.3,"Degrader platform"
