entity_type,canonical_name,ticker,aliases,notes
company,Rocket Pharma,RCKT,"Rocket Pharmaceuticals","Gene therapy"
company,Bluebird Bio,BLUE,"bluebird bio","Gene therapy"
company,CRISPR Therapeutics,CRSP,"CRISPR Therapeutics AG","Gene editing"
company,Editas Medicine,EDIT,"Editas Medicine Inc","Gene editing"
company,Intellia,NTLA,"Intellia Therapeutics","CRISPR therapeutics"
company,Beam Therapeutics,BEAM,"Beam Therapeutics Inc","Base editing"
company,Ionis,IONS,"Ionis Pharmaceuticals","Antisense pioneer"
company,Akcea,AKCA,"Akcea Therapeutics","Rare lipid (subsidiary of Ionis)"
company,Neurocrine,NBIX,"Neurocrine Biosciences","CNS focus"
company,Sage Therapeutics,SAGE,"Sage Therapeutics Inc","CNS/depression"
company,Karuna,KRTX,"Karuna Therapeutics","Schizophrenia (acquired by BMS)"
company,Prothena,PRTA,"Prothena Corporation","Neurodegenerative"
company,Denali,DNLI,"Denali Therapeutics","Neurodegenerative"
company,Cassava Sciences,SAVA,"Cassava Sciences Inc","Alzheimer (controversial)"
company,Acadia,ACAD,"Acadia Pharmaceuticals","CNS commercial"
company,Arvinas,ARVN,"Arvinas Inc","PROTACs"
company,C4 Therapeutics,CCCC,"C4 Therapeutics","PROTACs"
company,Nurix,NRIX,"Nurix Therapeutics","Targeted degradation"
company,Kymera,KYMR,"Kymera Therapeutics","Degraders"
company,Relay Therapeutics,RLAY,"Relay Therapeutics Inc","Computational drug design"
company,Recursion,RXRX,"Recursion Pharmaceuticals","AI drug discovery"
company,Schrodinger,SDGR,"Schrodinger Inc","Computational platform"
company,Immunocore,IMCR,"Immunocore Holdings","TCR platform"
company,Adaptimmune,ADAP,"Adaptimmune Therapeutics","TCR therapy"
company,TCR2 Therapeutics,TCRR,"TCR2 Therapeutics Inc","TCR therapy"
company,Fate Therapeutics,FATE,"Fate Therapeutics Inc","iPSC platform"
company,Allogene,ALLO,"Allogene Therapeutics","AlloCAR-T"
company,Precision BioSciences,DTIL,"Precision BioSciences Inc","ARCUS platform"
company,2seventy bio,TSVT,"2seventy bio Inc","CAR-T (ex-bluebird)"
company,Legend Biotech,LEGN,"Legend Biotech Corporation","CAR-T"
company,Caribou Biosciences,CRBU,"Caribou Biosciences Inc","CRISPR CAR-T"
company,Atara Bio,ATRA,"Atara Biotherapeutics","Allogeneic cell therapy"
company,Juno,JUNO,"Juno Therapeutics","CAR-T (acquired by Celgene/BMS)"
company,Kite,KITE,"Kite Pharma","CAR-T (acquired by Gilead)"
drug,Keytruda,,"pembrolizumab|pembro","PD-1 checkpoint inhibitor"
drug,Opdivo,,"nivolumab|nivo","PD-1 checkpoint inhibitor"
drug,Yervoy,,"ipilimumab|ipi","CTLA-4 inhibitor"
drug,Tecentriq,,"atezolizumab|atezo","PD-L1 inhibitor"
drug,Imfinzi,,"durvalumab","PD-L1 inhibitor"
drug,Bavencio,,"avelumab","PD-L1 inhibitor"
drug,Lumakras,,"sotorasib","KRAS G12C inhibitor"
drug,Krazati,,"adagrasib","KRAS G12C inhibitor"
drug,Enhertu,,"trastuzumab deruxtecan|T-DXd","HER2 ADC"
drug,Padcev,,"enfortumab vedotin|EV","Nectin-4 ADC"
drug,Trodelvy,,"sacituzumab govitecan|SG","Trop-2 ADC"
drug,Elahere,,"mirvetuximab soravtansine","FRα ADC"
drug,Kymriah,,"tisagenlecleucel|tisa-cel","CD19 CAR-T"
drug,Yescarta,,"axicabtagene ciloleucel|axi-cel","CD19 CAR-T"
drug,Breyanzi,,"lisocabtagene maraleucel|liso-cel","CD19 CAR-T"
drug,Abecma,,"idecabtagene vicleucel|ide-cel","BCMA CAR-T"
drug,Carvykti,,"ciltacabtagene autoleucel|cilta-cel","BCMA CAR-T"
drug,Spinraza,,"nusinersen","SMA antisense"
drug,Zolgensma,,"onasemnogene abeparvovec","SMA gene therapy"
drug,Evrysdi,,"risdiplam","SMA SMN2 splicing modifier"
drug,Elevidys,,"delandistrogene moxeparvovec|SRP-9001","DMD gene therapy"
drug,Casimersen,,"casimersen|SRP-4045","DMD exon 45 skipping"
drug,Exondys 51,,"eteplirsen","DMD exon 51 skipping"
drug,Vyondys 53,,"golodirsen","DMD exon 53 skipping"
drug,Ozempic,,"semaglutide","GLP-1 for T2D"
drug,Wegovy,,"semaglutide","GLP-1 for obesity"
drug,Mounjaro,,"tirzepatide","GIP/GLP-1 for T2D"
drug,Zepbound,,"tirzepatide","GIP/GLP-1 for obesity"
drug,Rybelsus,,"oral semaglutide","Oral GLP-1"
drug,Victoza,,"liraglutide","GLP-1"
drug,Trulicity,,"dulaglutide","GLP-1"
drug,Humira,,"adalimumab","TNF inhibitor"
drug,Enbrel,,"etanercept","TNF inhibitor"
drug,Remicade,,"infliximab","TNF inhibitor"
drug,Stelara,,"ustekinumab","IL-12/23 inhibitor"
drug,Skyrizi,,"risankizumab","IL-23 inhibitor"
drug,Rinvoq,,"upadacitinib","JAK inhibitor"
drug,Xeljanz,,"tofacitinib","JAK inhibitor"
drug,Olumiant,,"baricitinib","JAK inhibitor"
drug,Jakafi,,"ruxolitinib","JAK1/2 inhibitor"
drug,Dupixent,,"dupilumab","IL-4Rα inhibitor"
disease,COVID-19,,"SARS-CoV-2|coronavirus|pandemic","Infectious disease"
disease,HIV,,"human immunodeficiency virus|AIDS","Viral infection"
disease,Hepatitis C,,"HCV","Viral liver disease"
disease,Hepatitis B,,"HBV","Viral liver disease"
disease,Alzheimer's Disease,,"AD|Alzheimer|dementia","Neurodegenerative"
disease,Parkinson's Disease,,"PD|Parkinson","Neurodegenerative"
disease,Multiple Sclerosis,,"MS","Autoimmune CNS"
disease,Spinal Muscular Atrophy,,"SMA","Rare genetic"
disease,Duchenne Muscular Dystrophy,,"DMD|Duchenne","Rare genetic"
disease,Sickle Cell Disease,,"SCD|sickle cell anemia","Hemoglobinopathy"
disease,Beta Thalassemia,,"β-thalassemia|thalassemia","Hemoglobinopathy"
disease,Hemophilia A,,"factor VIII deficiency","Bleeding disorder"
disease,Hemophilia B,,"factor IX deficiency|Christmas disease","Bleeding disorder"
disease,Cystic Fibrosis,,"CF","Rare genetic"
disease,Rheumatoid Arthritis,,"RA","Autoimmune"
disease,Psoriasis,,"psoriatic","Autoimmune skin"
disease,Crohn's Disease,,"Crohn|CD","IBD"
disease,Ulcerative Colitis,,"UC","IBD"
disease,Lupus,,"SLE|systemic lupus erythematosus","Autoimmune"
disease,Type 1 Diabetes,,"T1D","Autoimmune metabolic"
disease,Type 2 Diabetes,,"T2D","Metabolic"
disease,Non-Alcoholic Steatohepatitis,,"NASH","Liver disease"
disease,Age-Related Macular Degeneration,,"AMD|wet AMD|dry AMD","Retinal disease"
disease,Diabetic Macular Edema,,"DME","Retinal complication"
disease,Diabetic Retinopathy,,"DR","Retinal complication"
disease,Atopic Dermatitis,,"AD|eczema","Inflammatory skin"
target,PD-1,,"PDCD1|programmed cell death 1","Immune checkpoint"
target,PD-L1,,"CD274|programmed death-ligand 1","Immune checkpoint"
target,CTLA-4,,"CD152","Immune checkpoint"
target,VEGF,,"vascular endothelial growth factor","Angiogenesis"
target,HER2,,"ERBB2|human epidermal growth factor receptor 2","Oncogene"
target,EGFR,,"epidermal growth factor receptor","Oncogene"
target,KRAS,,"Kirsten rat sarcoma viral oncogene","Oncogene"
target,BRAF,,"B-Raf proto-oncogene","Oncogene"
target,ALK,,"anaplastic lymphoma kinase","Oncogene"
target,ROS1,,"ROS proto-oncogene 1","Oncogene"
target,NTRK,,"neurotrophic receptor tyrosine kinase","Oncogene fusion"
target,BTK,,"Bruton tyrosine kinase","B-cell signaling"
target,JAK1,,"Janus kinase 1","Cytokine signaling"
target,JAK2,,"Janus kinase 2","Cytokine signaling"
target,JAK3,,"Janus kinase 3","Cytokine signaling"
target,TYK2,,"tyrosine kinase 2","Cytokine signaling"
target,TNF,,"tumor necrosis factor","Cytokine"
target,IL-17,,"interleukin-17","Cytokine"
target,IL-23,,"interleukin-23","Cytokine"
target,IL-4,,"interleukin-4","Cytokine"
target,IL-13,,"interleukin-13","Cytokine"
target,CD20,,"B-lymphocyte antigen CD20","B-cell marker"
target,CD19,,"B-lymphocyte antigen CD19","B-cell marker"
target,BCMA,,"B-cell maturation antigen|TNFRSF17","Plasma cell marker"
target,GLP-1,,"glucagon-like peptide-1","Incretin"
target,PCSK9,,"proprotein convertase subtilisin/kexin type 9","LDL metabolism"
target,Lp(a),,"lipoprotein(a)","Cardiovascular risk"
